Fri Dec 30 04:14:57 2022    output.dat

         41282251 function calls (40571362 primitive calls) in 85.856 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   101557    0.133    0.000    0.133    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\_config\config.py:579(_get_deprecated_option)
    50786    0.131    0.000    0.301    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\indexes\base.py:6381(maybe_extract_name)
   101607    0.131    0.000    0.241    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
    50775    0.128    0.000    0.284    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\series.py:1194(_set_as_cached)
    50769    0.128    0.000    0.777    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\generic.py:5558(_consolidate_inplace)
    50781    0.127    0.000    0.188    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\construction.py:605(_sanitize_ndim)
    50770    0.127    0.000    0.162    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\generic.py:562(_get_block_manager_axis)
   152301    0.125    0.000    0.709    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\dtypes\inference.py:184(is_array_like)
    50767    0.123    0.000    0.332    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\ops\common.py:74(get_op_result_name)
   203083    0.123    0.000    0.223    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\generic.py:631(_info_axis)
   609408    0.121    0.000    0.121    0.000 {built-in method builtins.issubclass}
    50788    0.118    0.000    0.243    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\dtypes\missing.py:61(isna)
    50767    0.118    0.000    0.576    0.000 C:\Users\pikac\AppData\Local\Programs\Python\Python37\lib\contextlib.py:116(__exit__)
    50777    0.115    0.000    1.224    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\_config\config.py:242(__call__)
    50767    0.114    0.000    0.320    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\series.py:810(__array__)
    50770    0.111    0.000    0.246    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\internals\base.py:34(__len__)
    50767    0.111    0.000    0.204    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\internals\blocks.py:208(external_values)
        1    0.107    0.107    0.120    0.120 {method 'read_low_memory' of 'pandas._libs.parsers.TextReader' objects}
    50767    0.107    0.000    0.586    0.000 C:\Users\pikac\AppData\Local\Programs\Python\Python37\lib\contextlib.py:107(__enter__)
   101561    0.105    0.000    0.164    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\dtypes\common.py:1744(pandas_dtype)
   101536    0.103    0.000    0.103    0.000 {built-in method numpy.seterrobj}
    50767    0.102    0.000    0.500    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\series.py:632(values)
    50769    0.101    0.000    0.158    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\internals\managers.py:606(consolidate)
    50767    0.095    0.000    0.095    0.000 {pandas._libs.algos.take_2d_axis0_object_object}
    50767    0.095    0.000    0.095    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
    50777    0.093    0.000    0.185    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\_config\config.py:618(_warn_if_deprecated)
   101546    0.088    0.000    0.088    0.000 {method 'fill' of 'numpy.ndarray' objects}
    50771    0.087    0.000    0.115    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\indexing.py:2323(convert_to_index_sliceable)
   101539    0.086    0.000    0.096    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\indexes\range.py:543(equals)
   152310    0.086    0.000    0.086    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\generic.py:542(_get_axis_number)
    50769    0.086    0.000    0.103    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\dtypes\missing.py:381(array_equivalent)
   304626    0.085    0.000    0.085    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\generic.py:345(flags)
   152313    0.083    0.000    0.083    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\generic.py:324(attrs)
    50784    0.079    0.000    0.079    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\indexes\range.py:347(dtype)
   355415    0.079    0.000    0.079    0.000 {pandas._libs.lib.is_scalar}
    50767    0.075    0.000    0.075    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\indexes\range.py:192(_int64index)
   203072    0.074    0.000    0.074    0.000 {built-in method numpy.geterrobj}
    50780    0.073    0.000    0.115    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\_config\config.py:606(_translate_key)
    50782    0.070    0.000    0.070    0.000 {method 'reshape' of 'numpy.ndarray' objects}
